ChurchName,ConferenceName
Grassy Butte Adventist Church,Dakota Conference
Gratz Seventh-day Adventist Church,Kentucky-Tennessee Conference
Grayling Seventh-day Adventist Church,Michigan Conference
Grays Harbor Seventh-day Adventist Church,Washington Conference
Graysville Seventh-day Adventist Church,Georgia-Cumberland Conference
Great Bend Hispanic Seventh-day Adventist Church,Kansas-Nebraska Conference
Great Bend Seventh-day Adventist Church,Kansas-Nebraska Conference
Great Falls Adventist Church,Montana Conference
Great Northern Adventist Company,Montana Conference
Greater Albany Seventh-day Adventist Church,New York Conference
Greater Atlanta Seventh-day Adventist Church,Georgia-Cumberland Conference
Greater Boston Brazilian Seventh-day Adventist Church,Southern New England Conference
Greater Boston Chinese Seventh-day Adventist Church,Southern New England Conference
Greater Boston Ghanaian Seventh-day Adventist Church,Southern New England Conference
Greater Bridgeport Ghanaian Seventh-day Adventist Church,Southern New England Conference
Greater Cleveland Seventh-day Adventist Church,Ohio Conference
Greater Faith Seventh-day Adventist Church,Allegheny West Conference
Greater Hartford Ghanaian Seventh-day Adventist Church,Southern New England Conference
Greater Love Seventh-day Adventist,Northeastern Conference
Greater New Hope Community SDA,Allegheny West Conference
Greater Than I Seventh-day Adventist Church,Potomac Conference
Greeley English Seventh-day Adventist Church,Rocky Mountain Conference
Greeley Hill Seventh-day Adventist Church,Central California Conference
Greeley Hispanic Seventh-day Adventist Church,Rocky Mountain Conference
Green Acres Spanish Seventh-day Adventist Company,Florida Conference
Green Bay Hispanic Company,Wisconsin Conference
Green Bay Seventh-day Adventist Church,Wisconsin Conference
Green Bay Three Angels Hisp. Seventh-day Adventist Church,Lake Region Conference
Green Lake Church of SDA,Washington Conference
Green Port Sp. Group,Greater New York Conference
Greenbelt Spanish Seventh-day Adventist Church,Potomac Conference
Greencastle,Allegheny East Conference
Greencastle Seventh-day Adventist Church,Indiana Conference
Greeneville Seventh-day Adventist Church,Georgia-Cumberland Conference
Greenland Seventh-day Adventist Church,Michigan Conference
Greensboro Karen Seventh-day Adventist Mission Group,Carolina Conference
Greensboro Korean Seventh-day Adventist Church,Carolina Conference
Greensboro Montagnard Seventh-day Adventist Group,Carolina Conference
Greensboro Seventh-day Adventist Church,Carolina Conference
Greensboro Spanish Seventh-day Adventist Company,Carolina Conference
Greensboro-East Market Street Seventh-day Adventist Church,South Atlantic Conference
Greensburg Seventh-day Adventist Church,Pennsylvania Conference
Greenville - Ebenezer Seventh-day Adventist Church,South Atlantic Conference
Greenville - Emanuel Seventh-day Adventist Church,South Atlantic Conference
Greenville - Maranatha Fellowship Seventh-day Adventist Ch,South Atlantic Conference
Greenville NC Sp Seventh-day Adventist Church,Carolina Conference
Greenville North Seventh-day Adventist Church,Carolina Conference
Greenville SC Spanish Seventh-day Adventist  Church,Carolina Conference
Greenville Seventh-day Adventist Church,Texas Conference
Greenville South Seventh-day Adventist Church,Carolina Conference
Greenville Spanish Seventh-day Adventist Church,Texas Conference
Greenwich Seventh-day Adventist Group,Southern New England Conference
Greenwood - Zion Temple Seventh-day Adventist Church,South Atlantic Conference
Greenwood Seventh-day Adventist Church,Carolina Conference
Greenwood-Greenwood Hispanic Seventh-day Adventist Company,South Atlantic Conference
Gresham Spanish Seventh-day Adventist Church,Oregon Conference
Gridley Seventh-day Adventist Church,Northern California Conference
Griffin - Dickerson Memorial Seventh-day Adventist Church,South Atlantic Conference
Griffin Seventh-day Adventist Church,Georgia-Cumberland Conference
Grottoes Seventh-day Adventist Church,Potomac Conference
Groupo Hispano en Riverside,Iowa-Missouri Conference
Grove City Seventh-day Adventist Church,Ohio Conference
Grove Seventh-day Adventist Church,Kentucky-Tennessee Conference
Groveland Seventh-day Adventist Church,Central California Conference
Groves Community Seventh-day Adventist Church,Texas Conference
Groves Spanish Seventh-day Adventist Church,Texas Conference
Grovetown Korean-English Seventh-day Adventist Company,Georgia-Cumberland Conference
GTA Zimbabwean Adventist Church,Ontario Conference
Guelph Adventist Church,Ontario Conference
Guildford Seventh-day Adventist Company,British Columbia Conference
Guilgal French Seventh-day Adventist Church,Southeastern Conference
Gulf Coast Seventh-day Adventist Church,Gulf States Conference
Gulf States Community Seventh-day Adventist Church,Gulf States Conference
Gunnison Seventh-day Adventist Church,Rocky Mountain Conference
Guntersville Hispanic Seventh-day Adventist Church,Gulf States Conference
Guntersville Seventh-day Adventist Church,Gulf States Conference
Gurnee Seventh-day Adventist Church,Illinois Conference
Guthrie Center Seventh-day Adventist Church,Iowa-Missouri Conference
Guthrie Seventh-day Adventist Church,Oklahoma Conference
Guttenberg Spanish Seventh-day Adventist Church,New Jersey Conference
Guymon Seventh-day Adventist Church,Oklahoma Conference
Gwa'sala-'Nakwaxda'xw Seventh-day Adventist Church,British Columbia Conference
Gypsum Hispanic Seventh-day Adventist Company,Rocky Mountain Conference
Habersham Seventh-day Adventist Company,Georgia-Cumberland Conference
Hacienda Heights Seventh-day Adventist Church,Southern California Conference
Hackensack Seventh-day Adventist Church,New Jersey Conference
Hackensack Seventh-day Adventist Church,Minnesota Conference
Hackettstown Seventh-day Adventist Church,New Jersey Conference
Hackettstown Spanish Seventh-day Adventist Company,New Jersey Conference
Hagerstown Seventh-day Adventist Church,Chesapeake Conference
Hagerstown Spanish Church,Chesapeake Conference
Hagersville Adventist Group,Ontario Conference
Haileybury Adventist Church,Ontario Conference
Haines City Spanish Seventh-day Adventist Church,Florida Conference
Halethorpe Spanish Group,Chesapeake Conference
Halifax Seventh-day Adventist Church,Maritime Conference
Haltom City Spanish Seventh-day Adventist Church,Texas Conference
Hamburg Seventh-day Adventist Church,Pennsylvania Conference
Hamilton Adventist Church,Montana Conference
Hamilton Adventist Church,Ontario Conference
Hamilton Community Seventh-day Adventist Church,Georgia-Cumberland Conference
Hamilton East Adventist Church,Ontario Conference
Hamilton Fil-Can Adventist Church,Ontario Conference
Hamilton Ghanaian Adventist Group,Ontario Conference
Hamilton Seventh-day Adventist Church,Bermuda Conference
Hamilton Seventh-day Adventist Church,Ohio Conference
Hamilton Seventh-day Adventist Hispanic Church,Ohio Conference
Hamlet Seventh-day Adventist Church,Ohio Conference
Hammond Hispanic Seventh-day Adventist  Church,Indiana Conference
Hammond Seventh-day Adventist Church,Indiana Conference
Hammond Seventh-day Adventist Church,Indiana Conference
Hammonton Spanish Seventh-day Adventist Church,New Jersey Conference
Hampden Faith of Jesus Mission Group,Northern New England Conference
Hampton Roads Seventh-day Adventist Church,Potomac Conference
Hampton Seventh-day Adventist Church,Iowa-Missouri Conference
Hampton Spanish Seventh-day Adventist Church,Greater New York Conference
Hamptonville Spanish Seventh-day Adventist Company,Carolina Conference
Hanahan Spanish Seventh-day Adventist Church,Carolina Conference
Hanford Bilingual Seventh-day Adventist Church,Central California Conference
Hanford English Seventh-day Adventist Church,Central California Conference
Hanford House of Hope Multi-ethnic SDA,Central California Conference
Hanna Seventh-day Adventist Church,Alberta Conference
Hannibal Seventh-day Adventist Church,Iowa-Missouri Conference
Hanover Adventist Group,Ontario Conference
Hanover Seventh-day Adventist Church,Pennsylvania Conference
Hanson Place Seventh-day Adventist Church,Northeastern Conference
Harbor of Hope Group,Michigan Conference
Hardeeville Spanish Seventh-day Adventist Church,Carolina Conference
Hardin Adventist Church,Montana Conference
Harlan Seventh-day Adventist Church,Iowa-Missouri Conference
Harlan Seventh-day Adventist Church,Kentucky-Tennessee Conference
Harlingen Seventh-day Adventist Church,Texas Conference
Harlingen Spanish Seventh-day Adventist Church,Texas Conference
Harmony Adventist Church,Ontario Conference
Harmony Seventh-day Adventist Company,Southern New England Conference
Harper Seventh-day Adventist Church,Kansas-Nebraska Conference
Harrisburg Eben-Ezer Hispanic Seventh-day Adventist Church,Pennsylvania Conference
Harrisburg First Seventh-day Adventist Church,Pennsylvania Conference
Harrisburg Spanish Church,Allegheny East Conference
Harrison  Adventist Fellowship,Ohio Conference
Harrison Seventh-day Adventist Church,Georgia-Cumberland Conference
Harrison Seventh-day Adventist Church,Arkansas-Louisiana Conference
Harrison Spanish Seventh-day Adventist Church,New Jersey Conference
Harrisonburg Seventh-day Adventist Church,Potomac Conference
Harrisonburg Spanish Seventh-day Adventist Company,Potomac Conference
Harriston Adventist Church,Ontario Conference
Hartford Bethel Haitian Seventh-day Adventist Company,Southern New England Conference
Hartford Indonesian Seventh-day Adventist Company,Michigan Conference
Hartford Portuguese Seventh-day Adventist Company,Southern New England Conference
Hartford Seventh-day Adventist Church,Michigan Conference
Hartford Spanish Seventh-day Adventist Church,Southern New England Conference
Hartsdale Seventh-day Adventist Church,Greater New York Conference
Harvest Seventh-day Adventist Church,South Central Conference
Harvey Adventist Church,Dakota Conference
Harvey Seventh-day Adventist Church,Maritime Conference
Hastings Seventh-day Adventist Church,Kansas-Nebraska Conference
Hastings Seventh-day Adventist Church,Michigan Conference
Hattiesburg Hispanic Seventh-day Adventist Church,Gulf States Conference
Hattiesburg Seventh-day Adventist Church,Gulf States Conference
Hauula Seventh-day Adventist Church,Hawaii Conference
Havana Spanish Seventh-day Adventist Company,Arkansas-Louisiana Conference
Haven Seventh-day Adventist Group,Southern California Conference
Haverhill Hispanic Seventh-day Adventist Church,Northeastern Conference
Haverhill Seventh-day Adventist Church,Southern New England Conference
Haverstraw Spanish Seventh-day Adventist Church,Greater New York Conference
Havertown Seventh-day Adventist Church,Pennsylvania Conference
Havre Adventist Church,Montana Conference
Haw River Seventh-day Adventist Church,Carolina Conference
Hawaii Chinese Vietnamese Seventh-day Adventist Church,Hawaii Conference
Hawkesbury Adventist Church,Ontario Conference
Hawkeye Seventh-day Adventist Church,Iowa-Missouri Conference
Hawthorne Seventh-day Adventist Church,Nevada-Utah Conference
Hawthorne Seventh-day Adventist Church,Southern California Conference
Hawthorne Spanish Seventh-day Adventist Company,Southern California Conference
Hayden Lake Adventist Church,Upper Columbia Conference
Hayfork Seventh-day Adventist Church,Northern California Conference
Hays Living Waters Prayer Chapel,Kansas-Nebraska Conference
Hayward Seventh-day Adventist Church,Northern California Conference
Hayward Seventh-day Adventist Church,Wisconsin Conference
Hayward Spanish Seventh-day Adventist Church,Northern California Conference
Hazelhurst Hispanic Seventh-day Adventist Church,Gulf States Conference
